Location Name,Amount Spent (USD)
Alabama,3369823
Alaska,509615
American Samoa,2486
Arizona,6430818
Arkansas,2233019
California,33367615
Colorado,5276459
Connecticut,1488675
Delaware,446267
Florida,16530928
Georgia,6895278
Guam,8982
Hawaii,488480
Idaho,769698
Illinois,9976535
Indiana,2515649
Iowa,4405307
Kansas,1252666
Kentucky,1996317
Louisiana,1579255
Maine,2046329
Maryland,4277234
Massachusetts,5647674
Michigan,9273352
Minnesota,4372486
Mississippi,1758511
Missouri,4023139
Montana,541437
Nebraska,726346
Nevada,3738418
New Hampshire,2472074
New Jersey,4652592
New Mexico,1168247
New York,11613303
North Carolina,9359017
North Dakota,276038
Northern Mariana Islands,3650
Ohio,7560414
Oklahoma,2519846
Oregon,2358131
Pennsylvania,9222396
Puerto Rico,160180
Rhode Island,457269
South Carolina,5161027
South Dakota,350460
Tennessee,4531983
Texas,20784233
Unknown,1327
Utah,1842689
Vermont,617840
Virgin Islands (U.S.),1202
Virginia,7810915
Washington,6080555
"Washington, District of Columbia",1116175
West Virginia,905991
Wisconsin,4826830
Wyoming,293227
