0,Mike Bloomberg 2020 Inc,5
1,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,2
2,BERNIE 2020,3
3,WARREN FOR PRESIDENT INC,4
4,BIDEN FOR PRESIDENT,1
5,PETE FOR AMERICA INC,6
6,DONALD J. TRUMP FOR PRESIDENT INC,2
7,FRIENDS OF ANDREW YANG,7
8,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,2
9,I Love My Freedom,2
10,PETERS FOR MICHIGAN,6
11,Making Web LLC,2
12,Proud Right Winger,2
13,"DONALD J. TRUMP FOR PRESIDENT INC.",2
14,Red State Politics LLC,2
15,KENNEDY FOR MASSACHUSETTS,1
16,Trump Collections,2
17,The Stuart Agency,2
18,Greek Steel LLC,2
19,Peter G. Peterson Foundation,6
20,Innovative Ecomm LLC,2
21,DONALD NORCROSS FOR CONGRESS,2
22,VOTE NURSES VALUES POLITICAL ACTION COMMITTEE: CALIFORNIA NURSES ASSOCIATION,3
23,Emery Celli Brinckerhoff & Abady LLP,2
24,Angel Avinash Persaud,3
25,Troy Lorenzo Davis,2
26,Congressman Joe Morelle,1
27,PA 529 College and Career Savings Program,1
28,QuickTake by Bloomberg,5
29,Legal Action Media,3
30,Pennsylvania Taxpayer Dollars,1
31,Beyond Patriots LLC,2
32,Thanh Hai None Hoang,2
33,Mike Lansing for School Board 2020,5
34,Friends of Mike Larsen,5
35,Mike Causey Campaign,5
36,Joe Flores Campaign,1
37,Salem Media,5
38,Stop the Donald,2
