Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
6756153498,Mike Bloomberg,Mike Bloomberg 2020 Inc,61113409,179824
416707608450706,Tom Steyer,TOM STEYER 2020,9687496,3052
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,7540896,95233
124955570892789,Bernie Sanders,BERNIE 2020,6592055,17498
38471053686,Elizabeth Warren,"WARREN FOR PRESIDENT, INC.",3489548,13803
7860876103,Joe Biden,BIDEN FOR PRESIDENT,3007690,4424
1039701332716228,Pete Buttigieg,"PETE FOR AMERICA, INC.",2647964,41151
73970658023,International Rescue Committee,International Rescue Committee,2384263,1487
156968474833352,Stop Republicans,Stop Republicans,2356355,379
925007000949719,ExxonMobil,Exxon Mobil Corporation,1990083,1005
54684090291,Partnership for Drug-Free Kids,The National Center on Addiction and Substance Abuse with Facebook ad credits,1952892,129
302182941354,AARP Advocates,AARP,1947822,182
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",1827600,67078
425408274980132,Let's Be Honest,Priorities USA,1681908,3812
106927400764857,Team Mike 2020,Mike Bloomberg 2020 Inc,1318814,273
11131463701,truth,TRUTH INITIATIVE FOUNDATION,1251759,365
121388362246,Goldman Sachs,Goldman Sachs & Co.,1241895,80
202626512363,U.S. Census Bureau,U.S. Census Bureau,998903,365
127225910653607,PragerU,PragerU,913833,990
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,905226,1456
33110852384,Doctors Without Borders/ Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF),876413,1282
107858693983382,The GOP Shop,The GOP Shop,827411,1788
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,823194,174
1884107931849913,Republicans for the Rule of Law,Defending Democracy Together,803086,521
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,797420,527
20787991568,Senate Democrats,DSCC,771758,3085
109092142462587,Adam Schiff,SCHIFF FOR CONGRESS,767163,407
1025055787535714,A Case for Women,A Case for Women,750554,168
117580534956446,Kellogg's Frosted Flakes,Kellogg Company,747265,7
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,740949,5832
111393882812494,Amy McGrath,"AMY MCGRATH FOR SENATE, INC.",717472,200
92925746942,Judicial Watch,Judicial Watch,715070,471
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,706440,3308
104684067632334,Unite the Country,UNITE THE COUNTRY,697133,1723
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,688691,496
2352630938293825,Mytacticalpromos,Entremax,668406,114
112041183486666,Project Sunshine,ACRONYM,663526,208
55549065733,Voto Latino,VOTO LATINO INC.,657645,1664
7606381190,Amy Klobuchar,AMY FOR AMERICA,653884,1071
1316372698453411,Alexandria Ocasio-Cortez,ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS,649334,5803
602714436529710,End Citizens United,END CITIZENS UNITED,638195,365
6204742571,Sierra Club,SIERRA CLUB,634897,1138
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,612461,1724
101181794707874,United Research Group,United Research Group,589992,9323
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,587000,1319
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,584706,130
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,583443,5756
1194865807192273,Conservative Gear,Outergoods LLC,572055,1531
6985452607,Brita USA,The Clorox Company,556832,25
25852730092,Care2,Care2 Inc,550238,931
159616034235,Walmart,WALMART INC.,537508,45
562149327457702,Andrew Yang,FRIENDS OF ANDREW YANG,536908,2699
30139072158,CARE,CARE,529520,667
717115395103069,PrintedKicks,Printed Kicks,516573,454
216397232833,Penzeys Spices,Penzeys Ltd,507658,889
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,506420,1856
345504286342057,Keeping America Great Again,RightWingGear.com,504009,30
81517275796,UNICEF USA,UNITED STATES FUND FOR UNICEF,502563,1116
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,486535,344
156994304362574,American Bridge,AMERICAN BRIDGE 21ST CENTURY,485313,278
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,484918,691
136299005939,Heifer International,HEIFER PROJECT INTERNATIONAL,484807,237
681626158940626,Mission Roll Call,Americas Warrior Partnership,480107,346
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,474131,5571
242077219243971,The Presidential Coalition,The Presidential Coalition,460133,922
9324910069,NRSC,NRSC,453407,1103
246323280108,American Medical Association (AMA),American Medical Association,452889,173
158791100909689,Concerned Veterans for America,Concerned Veterans for America,446192,508
110749446963570,Courier,Courier Newsroom,435043,288
101617224555221,Nancy Pelosi Elects Democrats,PAC TO THE FUTURE,426676,483
179204028758675,California Secretary of State,California Secretary of State,423911,123
260754507296508,The Voter Participation Center,Voter Participation Center,418854,8932
101183127996396,Four Is Enough,PACRONYM,417385,147
309308412520731,Sandy Hook Promise,Sandy Hook Promise,415737,1358
228754857151053,House Majority PAC,House Majority PAC,402151,299
174866249236469,Tulsi Gabbard,TULSI NOW,390502,2147
1456310534453054,Veteran Loans Online,"LMB OpCo, LLC",382341,135
383877235817031,Keep America Great,Keep America Great,376925,267
5435784683,Greenpeace USA,"GREENPEACE, INC.",361662,6005
2283535575207809,Ditch Mitch,DITCH FUND,348813,267
106787890912320,Persist 2020,PERSIST PAC,347718,123
592347634460462,Partnership for America's Health Care Future,Partnership for America's Health Care Future,345442,140
1883837055193241,Shield Republic,Shield Republic,339822,11552
1338822066131069,Women's March,Women's March,335244,1457
1711465445765878,Nancy Pelosi,NANCY PELOSI FOR CONGRESS,333091,322
8532248414,Wounded Warrior Project,"WOUNDED WARRIOR PROJECT, INC.",332333,294
261663760956534,America First Policies,America First Policies Inc,328108,89
197760674021143,Indivisible Guide,INDIVISIBLE ACTION,327836,1327
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,325121,2689
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,324634,30
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,319476,3933
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,319232,179
15687409793,World Wildlife Fund,World Wildlife Fund,315221,288
239452426714,American Action Network,American Action Network,311894,379
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",310935,949
132492254050920,American AF,AAF Nation,309860,651
159964696102,Kevin McCarthy,KEVIN MCCARTHY FOR CONGRESS,307041,89
203197030603239,8 Billion Trees,8 Billion Trees LLC,299551,202
