Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
573367726328714,Amazing Cosmos,These ads ran without a disclaimer,≤100
780180935704193,ARC Suria Fertility Malaysia,These ads ran without a disclaimer,≤100
112510850215615,DIY Daily,These ads ran without a disclaimer,≤100
1179536425489897,Brown Girl Woke,These ads ran without a disclaimer,≤100
79355523842,University of the People,These ads ran without a disclaimer,≤100
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100
837157493122072,CGTN Global Business,These ads ran without a disclaimer,≤100
137973986840264,Basmah,These ads ran without a disclaimer,≤100
5755052206,University of Sydney,These ads ran without a disclaimer,≤100
737067693087816,American Samoa Alliance Against Domestic & Sexual Violence,American Samoa Alliance against Domestic & Sexual Violence,211
1691667177798461,Brut,Brut,429
112290287004586,Gaoteote & Faiivae 2020,These ads ran without a disclaimer,≤100
103820407824237,Hok,These ads ran without a disclaimer,≤100
114757093410967,1st Priority Medical,These ads ran without a disclaimer,≤100
2362252427391226,Cora,These ads ran without a disclaimer,≤100
109905900573403,BuzzVote2020,Bruce Edward Spector,≤100
172350046891,Dr. Dons Buttons,These ads ran without a disclaimer,≤100
1754800858088589,Todd Brown Marketing,These ads ran without a disclaimer,≤100
188022031804028,What's on the star?,These ads ran without a disclaimer,≤100
1745418332339003,Aspire Gear,These ads ran without a disclaimer,≤100
6756153498,Mike Bloomberg,Mike Bloomberg 2020 Inc,1651
565225540184937,CGTN,These ads ran without a disclaimer,≤100
794588170916703,We Love Pacman,These ads ran without a disclaimer,≤100
103779464427540,Recent Update,These ads ran without a disclaimer,≤100
11131463701,truth,TRUTH INITIATIVE FOUNDATION,108
250992724912260,R&R,These ads ran without a disclaimer,≤100
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,≤100
122164924461172,Volvo Buses,These ads ran without a disclaimer,≤100
645355275615156,Expat Tax Online,These ads ran without a disclaimer,≤100
2059019737447210,ChangeRoots,ChangeRoots,≤100
266790296879,Bloomberg,These ads ran without a disclaimer,≤100
106516350884384,Teidy,These ads ran without a disclaimer,≤100
115297526678529,Top Reusables,These ads ran without a disclaimer,≤100
105862057494714,Wei,These ads ran without a disclaimer,≤100
533883536802363,Hero Wars Mobile,These ads ran without a disclaimer,≤100
1864721517082089,Democratic Attorneys General Association,Democratic Attorneys General Association,≤100
168364409846894,"Ministry of Foreign Affairs, Republic of Korea",These ads ran without a disclaimer,≤100
40055265495,The British Journal of Photography,These ads ran without a disclaimer,≤100
29883711738,Independent Women's Voice,Independent Women's Voice,≤100
1437565483144916,중앙선거관리위원회,These ads ran without a disclaimer,≤100
220039928006744,World Cosplay Summit,These ads ran without a disclaimer,≤100
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,≤100
194698570616499,Marine Dynamics,These ads ran without a disclaimer,≤100
294713084798616,Yu,These ads ran without a disclaimer,≤100
398183487276838,Conformity Antidote,These ads ran without a disclaimer,≤100
112946676746131,Bycloude,These ads ran without a disclaimer,≤100
100905191254122,Resimplex.com,These ads ran without a disclaimer,≤100
111829146858574,Blisslyee,These ads ran without a disclaimer,≤100
897363213622309,Hotel Mamá,These ads ran without a disclaimer,≤100
299930056542,Trump International Hotel Las Vegas,These ads ran without a disclaimer,≤100
552547788123044,Kayla Itsines,These ads ran without a disclaimer,≤100
205238189588054,"Race, Racism and the Law",Professor Vernellia Randall,≤100
1426586660983216,The Pacific Women's Network,These ads ran without a disclaimer,≤100
12597491214,ADRA International,These ads ran without a disclaimer,≤100
124510404259827,Teen Challenge American Samoa,These ads ran without a disclaimer,≤100
111639523632031,The.Conversation,These ads ran without a disclaimer,≤100
