Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
1158294911001430,Santiago Vazquez for Broward County Sheriff 2020,Santiago Vazquez,≤100
967449813380430,Newsvoice,These ads ran without a disclaimer,≤100
897994503631860,HealthInsurance.net,These ads ran without a disclaimer,420
56661991371,Woods Hole Oceanographic Institution (WHOI),Woods Hole Oceanographic Institution,≤100
218957134646,Katherine Paterson,These ads ran without a disclaimer,≤100
151233624932530,parentalrights.org Florida,ParentalRights.org,300
103602134515595,dathecomic,These ads ran without a disclaimer,≤100
2187609284902381,Cozlow,These ads ran without a disclaimer,≤100
121067011091,Arab American Institute,ARAB AMERICAN INSTITUTE INC,≤100
1787668898197816,Oklahoma Hospital Association,OKLAHOMA HOSPITAL ASSOCIATION,≤100
975011942576859,MIRAE 未來美,These ads ran without a disclaimer,≤100
107658524050279,Vision Zero NKY,These ads ran without a disclaimer,≤100
407279909421128,Diamond And Silk,Diamond and Silk,201
328122344509267,How I Carry,Tara Booth Craft,≤100
30708742052,FCTRY,FCTRY,1041
117244745000446,Non-Good Old Boys Association (NGOB),Stuart Lee Williams,≤100
109118207333357,Vote for Angie Ponce,These ads ran without a disclaimer,≤100
101907961347822,Friends of Val Verde Schools - Yes on Measure C,"Friends of Val Verde Schools - Yes on Measure C, FPPC# 1423767",≤100
569115029963958,MJGwrites Political Comedy,MJ Gardner,≤100
337557199502,Nebraska Conservation Voters,Nebraska Conservation Voters,≤100
200245357422636,Unpolitically Correct,Unpolitically Correct,≤100
105413724336286,Latest News Headlines,Tamika Lawanda Hines,≤100
112639603464632,Drive Clean Bay Area,"COOL THE EARTH, INC.",≤100
620132415167456,The Race Documentary,Wilson Truong,≤100
342911523671,"City of Wilmington, NC Government","City of Wilmington, NC",≤100
867915913222129,Frank Guerrero for Hidalgo County Sheriff,Frank Guerrero for Hidalgo County Sheriff,≤100
109171590631740,"Charles Kesl for Commissioner, Town of Surfside",These ads ran without a disclaimer,≤100
100567068106409,The Electoral Line,Caren Blechman Cohen,≤100
151161374920629,WaterBrick,These ads ran without a disclaimer,≤100
104325844436320,US Dollar Reports,US Dollar Reports,14979
100528478183204,Savvy Market Picks,Savvy Market Picks,1241
112896663458246,Colton's Legacy,These ads ran without a disclaimer,≤100
106132604246000,Bill Schack for City Commissioner,William Schack,≤100
769395966523308,Eddie J. Mauro,MAURO SENATE CAMPAIGN TEAM,403
360735177999123,Traders Agency,These ads ran without a disclaimer,≤100
102311707973337,workmanlibrary,These ads ran without a disclaimer,≤100
159023914150996,UCOMMBlog,UCOMM Media Group,≤100
7148723514,Sundance Film Festival,These ads ran without a disclaimer,≤100
107477490856914,Pseudo Party,These ads ran without a disclaimer,≤100
1266607793492739,"Godfrey Santos Plata for CA State Assembly, District 53","Plata for Assembly 2020, #ID1417528",≤100
106381250892930,Jason Liso for Superior Court Judge,Liso for Judge 2020,≤100
104674307761074,Social Care Stories,These ads ran without a disclaimer,≤100
1271791442888653,Alan Terrano,Alan Terrano,≤100
102967727881145,Antitrumpclothing.com,Anti Trump Clothing,≤100
103803147648868,Nifty Blends,Nifty Blends,817
116824089114,Skid Row Housing Trust,These ads ran without a disclaimer,≤100
26689153393,Muslim Public Affairs Council - MPAC,Brandon Edward Mcrae,≤100
249215512733,Amer Zahr,Amer George Zahr,≤100
190675091555242,Western Wall,These ads ran without a disclaimer,≤100
462039010987559,"Andrew D. Himmel, Author",These ads ran without a disclaimer,≤100
110050107034208,Sakinah Lehtola for Congress,SAKINAH FOR CONGRESS,326
105032130960111,The RoundUp Claim Center,The Simple Wallet,≤100
110529547172854,Home Savings Advice,Richard Telfeja,≤100
2537580102970762,The Non-Partisan Evangelical,Paul Ray Swearengin,≤100
1709657975990391,Colorado Times Recorder,Colorado Times Recorder,≤100
788394134539871,USPS Business,United States Postal Service,5238
175723919259349,Mayor Scott Singer,Scott Singer for Mayor,6428
475783162764513,Ms Bingles Vintage Christmas,These ads ran without a disclaimer,≤100
111848840253602,For God & Country,Adam Christopher Blum,≤100
7100914121,American Experience | PBS,WGBH EDUCATIONAL FOUNDATION,195
101857784637143,Red Wave Clothing Co,Michael Shawn Mcclister,≤100
384336778589668,Defend Our Constitution,COMMON CAUSE,113
1280400305319674,Tennesseans for Quality Early Education,Tennesseans for Quality Early Education Policy and Research,≤100
115679416466396,Global Impak,Scott A Bailey,≤100
146374312731434,Mi Bakal,These ads ran without a disclaimer,≤100
266114353867,Jeff Weninger,Weninger For AZ House,≤100
109218277137154,byoverblondedelphine,These ads ran without a disclaimer,≤100
1520645714908369,Eco-Healthy Child Care,CHILDRENS ENVIRONMENTAL HEALTH NETWORK,≤100
106507847608975,American Freedom Fund,American Freedom Fund,139
116924065002990,Indiana Democratic Party,INDIANA DEMOCRATIC CONGRESSIONAL VICTORY COMMITTEE,≤100
232285560121629,New Alternatives for Children,"NEW ALTERNATIVES FOR CHILDREN, INC.",≤100
479170758924824,The Fix,These ads ran without a disclaimer,≤100
106140837538261,Fullhouseskateboards,These ads ran without a disclaimer,≤100
222331307786318,Everglades Foundation,"EVERGLADES FOUNDATION, INC., THE",191
105281310938561,Evelyn For New York,Evelyn For NY,≤100
103097477893517,Helltoupeebrand.com,Joel Howard Miller,≤100
104243792943104,Saybrook University,TCS Education System,≤100
106636844170360,No on Kevin de Leon,Monica Garcia for City Council 2020,≤100
1698620600355303,Alaskan Bud Man,These ads ran without a disclaimer,≤100
12692955711,Chronicle of Higher Education,"CHRONICLE OF HIGHER EDUCATION, INC. (THE)",902
