Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
5633824547,FreedomWorks,"FREEDOMWORKS, INC.",985
101069388019482,Elect Gerri Seay to City of Tallahassee  Commission Seat 2,Geraldine Hord Seay,≤100
130781317550781,"POWER, Inc.",These ads ran without a disclaimer,≤100
365584896871064,Realtor Melissa Strickland-Team Southern Home Sales and Middle GA Living,These ads ran without a disclaimer,≤100
104982977708871,Dr. Bisham Singh,Dr. Bisham Singh for Congress,≤100
111708930296540,CPAC Environmental Solutions,CPAC Environmental Solutions,≤100
148942695133440,Northern Plains Resource Council,NORTHERN PLAINS RESOURCE COUNCIL,≤100
104627231063137,Coffee After Five,These ads ran without a disclaimer,≤100
883241875118535,RAB For Congress,RAB FOR CONGRESS COMMITTEE,≤100
106993627496561,Joe Costolnick for Clerk of Superior Court,These ads ran without a disclaimer,≤100
102078704686512,Nancy Stanton Cross Republican State Committeewoman,Red Massachusetts Grassroots Action,≤100
111203383669064,Cathy Broadrick for Midland Democratic Chair,Cathy Brashears Broadrick,≤100
41036437395,Macular Degeneration Research,"BRIGHTFOCUS FOUNDATION, INC. A/K/A BRIGHTFOCUS FOUNDATION",279
109439817056024,Elect Logan Endow,Friends of Logan Endow,≤100
169493296457235,David Biga,David Gregory Biga,≤100
102214737918980,Jasmine for City Council,Jasmine Annette Wilson,≤100
15904145971,Rare,RARE,213
82637311931,Citymeals on Wheels,CITYMEALS-ON-WHEELS,≤100
114518743442551,Catherine Smith McKnight for Commission,Sarah Harper Scott,≤100
101240613978671,Reggie Jones-Sawyer Sr.,Jones-Sawyer for Assembly 2020,≤100
112844610186533,Mail My Voice,United Effects LLC,≤100
164085404030285,The Last Train to Berlin,These ads ran without a disclaimer,≤100
126138584775173,Repel Trump,In the Eye Designs LLC,≤100
658879504288370,Choose Life Marketing,Choose Life Marketing,≤100
494803967242731,We Coast Records,These ads ran without a disclaimer,≤100
410131312395744,Tactical Gear Junkie,These ads ran without a disclaimer,≤100
109135463912498,African Jewelry,These ads ran without a disclaimer,≤100
1523403537916328,State Innovation Exchange,State Innovation Exchange (SiX),≤100
1556323534653761,Richard Attias & Associates,Richard Attias & Associates,≤100
216072542406379,Guardians Of The Sea,Dean Samuel Broadwater,≤100
356989588324382,The Derringer,The Derringer News LLC,≤100
109304880567335,Pardue For Assembly 2020,These ads ran without a disclaimer,≤100
346729639373998,Ban Assault Weapons NOW,Ban Assault Weapons NOW,1034
1439388002983881,The Authority on DUI Defense,These ads ran without a disclaimer,≤100
106969733988200,Reed Cooper News GVS,Clear Creek Institute,≤100
107820545926380,ARZA,Taryn Jessica Rosenberg,≤100
