Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
147247385296588,Senator Telo T. Taitague,Telo T Taitague,197
1906155112817336,Brandonbernie.bernie,These ads ran without a disclaimer,≤100
304766662982799,Dutch International Zouk Congress,These ads ran without a disclaimer,≤100
107576954053963,Romancisy,These ads ran without a disclaimer,≤100
111006106975721,Celebration of Asher's Life,These ads ran without a disclaimer,≤100
188022031804028,What's on the star?,These ads ran without a disclaimer,≤100
1619846278287279,Guam for Bernie,Julian  C Janssen,129
619855508423633,NanasStudio,These ads ran without a disclaimer,≤100
2362252427391226,Cora,These ads ran without a disclaimer,≤100
533883536802363,Hero Wars Mobile,These ads ran without a disclaimer,≤100
114757093410967,1st Priority Medical,These ads ran without a disclaimer,≤100
112946676746131,Bycloude,These ads ran without a disclaimer,≤100
109072503873031,Cc's list,These ads ran without a disclaimer,≤100
1461863774118436,Bureau of Statistics & Plans,Bureau of Statistics & Plans,1115
171540600327698,Senator Amanda L. Shelton,Amanda L. Shelton,≤100
221546394667908,MANI WONDERS,These ads ran without a disclaimer,≤100
105418487609548,EcoWaves,These ads ran without a disclaimer,≤100
12597491214,ADRA International,These ads ran without a disclaimer,≤100
381052465240758,Pangkalinangang Kilusan ng mga taga- Morong (PAKITAMO),These ads ran without a disclaimer,≤100
751378318588766,Prevent UnWanted Species Guam,"Sustainable Resources Group Intn'l, Inc.",110
112510850215615,DIY Daily,These ads ran without a disclaimer,≤100
552547788123044,Kayla Itsines,These ads ran without a disclaimer,≤100
106503280809522,DDHD1,These ads ran without a disclaimer,≤100
79355523842,University of the People,These ads ran without a disclaimer,≤100
105670424238508,Mejai's,These ads ran without a disclaimer,≤100
137973986840264,Basmah,These ads ran without a disclaimer,≤100
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,≤100
1691667177798461,Brut,Brut,3337
2059019737447210,ChangeRoots,ChangeRoots,167
573367726328714,Amazing Cosmos,These ads ran without a disclaimer,≤100
205238189588054,"Race, Racism and the Law",Professor Vernellia Randall,≤100
113953261998824,All American Clothing Co.,These ads ran without a disclaimer,≤100
780180935704193,ARC Suria Fertility Malaysia,These ads ran without a disclaimer,≤100
104622121026372,Earthbreeze,These ads ran without a disclaimer,≤100
40055265495,The British Journal of Photography,These ads ran without a disclaimer,≤100
172696189433474,The Great Courses,These ads ran without a disclaimer,≤100
102936871238111,CartoonSoup,These ads ran without a disclaimer,≤100
1745418332339003,Aspire Gear,These ads ran without a disclaimer,≤100
101377564806423,T-Shirt Hype,Michael Kim Martinez,≤100
467949837027911,Natural Living Family,These ads ran without a disclaimer,≤100
1864721517082089,Democratic Attorneys General Association,Democratic Attorneys General Association,≤100
106904414125606,Mockie-Talkie,These ads ran without a disclaimer,≤100
212732770186,Tom MacDonald,These ads ran without a disclaimer,≤100
115297526678529,Top Reusables,These ads ran without a disclaimer,≤100
104272657722603,Current Trending topics,These ads ran without a disclaimer,≤100
308817409741999,Governor Lou Leon Guerrero,Office of the Governor of Guam,236
106516350884384,Teidy,These ads ran without a disclaimer,≤100
106347817561634,Vince Borja for Senator,Vincent Anthony Velasco Borja,142
2314080272213868,Senescence,These ads ran without a disclaimer,≤100
141576709631498,Pacific Island Times,These ads ran without a disclaimer,≤100
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100
100100708070677,CallRecorder,These ads ran without a disclaimer,≤100
220039928006744,World Cosplay Summit,These ads ran without a disclaimer,≤100
111639523632031,The.Conversation,These ads ran without a disclaimer,≤100
412605795450213,Water Supply & Sanitation Collaborative Council (WSSCC),These ads ran without a disclaimer,≤100
103779464427540,Recent Update,These ads ran without a disclaimer,≤100
10612146821,Akumu Ink,These ads ran without a disclaimer,≤100
2282241388670058,Ubuntoo,These ads ran without a disclaimer,≤100
107437070680807,Journal Of Development,These ads ran without a disclaimer,≤100
172350046891,Dr. Dons Buttons,These ads ran without a disclaimer,≤100
100905191254122,Resimplex.com,These ads ran without a disclaimer,≤100
100590724818427,TikTok Daily,These ads ran without a disclaimer,≤100
186708875593645,Mila Marsel_official,These ads ran without a disclaimer,≤100
1003050109876165,Tafilu Store,These ads ran without a disclaimer,≤100
137374409839,The Compass,These ads ran without a disclaimer,≤100
645355275615156,Expat Tax Online,These ads ran without a disclaimer,≤100
1639730212934172,"DOVA International Charities, Ltd, 501c3 Non-Profit Charity",Kathleen Louise D'Ovido,≤100
590772954430493,Guam Citizens for Public Accountability,Guam Citizens for Public Accountability,171
1513634378931640,The Home Depot: Retool Your School Program,These ads ran without a disclaimer,≤100
233472543406717,ScottsBassLessons.com,These ads ran without a disclaimer,≤100
11131463701,truth,TRUTH INITIATIVE FOUNDATION,342
