Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
398986710654234,"Rob Barrett, Jr. for US Senate",ROB BARRETT FOR SENATE,≤100
6333396177,NewsBusters.org,MEDIA RESEARCH CENTER,730
118916718118531,Feeding America West Michigan,FEEDING AMERICA WEST MICHIGAN,≤100
329325094597306,Myanna Dellinger For Judge 2020,Myanna Falker Dellinger,≤100
1754669597959219,Evie,These ads ran without a disclaimer,≤100
276356429949779,Utah for Pete Buttigieg,Jade James Velazquez,≤100
112723732080474,Capo Kids First!,Craig Powell Alexander,≤100
204470216814493,Give With Alma,These ads ran without a disclaimer,≤100
1561007084146010,All In Together,Priya Kimberly Elangovan,≤100
102860661680,Quetico Superior Wilderness News,Quetico Superior Foundation,≤100
584341538641540,Johnny Garcia Edinburg City Council Place 3,Zulema Olivia Garcia,≤100
103574014521561,Health is Life,Kiara Tanae Billingslea,109
350607023760,Relatively Interesting.com,These ads ran without a disclaimer,≤100
1674679465879284,Dean Cavaretta for Republican State Committeeman,Cody M Parsons,≤100
106710090880073,Sara Lewis For Judge,The Committee to Elect Sara Lewis Judge,≤100
543066585882629,Libertarian Country,Libertarian Country,119
109274127208993,State Committeeman Matthew Sisk,Hotline Productions,≤100
103306264435650,EcoFare Market,These ads ran without a disclaimer,≤100
253750844670921,Transforming from Consumer to Producer in 90 Days,Darryl Lloyd Wortham,≤100
940653386126953,Standingwithyou.org,Amanda Lord,≤100
110019037232941,Our Earth Straws,Our Earth Straws,≤100
122571921086301,Jody Hice,Jody Hice for Congress,≤100
186538388091065,Operation Sacred Trust,Purpose Built Families Foundation,≤100
2514836028569061,State Representative Brad Stephens,Brad Stephens for State Representative,≤100
349355948501471,Judge Otto Campanella,The Committee to Elect Judge Otto Campanella,≤100
101784008065542,Commit to Seniors,American Commitment,≤100
1320005784826065,Dora Villarreal for State's Attorney,Friends of Dora Villarreal,634
125846932600,Gerald & Cullen Rapp Art,These ads ran without a disclaimer,≤100
854479238006224,Lake County Gazette,Local Government Information Services,1050
197318580949609,LIXIL Americas,LIXIL Americas,≤100
113040043498170,Tulcan For Judge 2020,Tulcan for Judge 2020,≤100
354329797956187,The Catholic Association,"The Catholic Association, Inc",≤100
1212227562288757,Divided We Fall,Divided We Fall,≤100
303374266418976,AFPM,American Fuel & Petrochemical Manufacturers,104
145934021786,Zindagi Trust,These ads ran without a disclaimer,≤100
132492254050920,American AF,These ads ran without a disclaimer,550
278269756084429,Norwood Park Township Democrats,Frank None Avino,≤100
103316257862246,Cuba Great Again,Carlos None Ramos,≤100
103854021078878,Patriot Revolution,National Insiders,1179
1043145912537340,"Israel Garcia for Justice of the Peace, Pct. 5, Pos. 1","Israel Garcia for Justice of the Peace, Pct. 5, Pos. 1",≤100
51274163696,ACLU of Washington,American Civil Liberties Union of Washington,≤100
171636242883642,P.A.N.D.A.S. Network,These ads ran without a disclaimer,≤100
7474340746,Human Rights First,HUMAN RIGHTS FIRST,≤100
330503870688520,Darren Bailey for State Senate 55th District,Bailey for Illinois,1674
12597491214,ADRA International,These ads ran without a disclaimer,≤100
1146803172126947,Samuel Williams for Congress,SAMUEL LEE WILLIAMS JR FOR CONGRESS,≤100
2332293886816499,Albany Counts,Albany Counts,≤100
40217893542,AIPAC,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE (INC),714
109594647218766,Smartcar,These ads ran without a disclaimer,≤100
1562290543991677,Alliance for a Healthy Kansas,Community Care Network of Kansas,≤100
454026075037037,International Sportsman,International Sportsman Inc.,≤100
218115858930211,Donna Shalala for Congress,Donna Shalala for Congress,≤100
76495766248,"Urbana, Illinois - City Government",These ads ran without a disclaimer,≤100
153405031389931,Craig Taubman,These ads ran without a disclaimer,≤100
1039601176181323,Kathy Wyenandt for State Senate,Friends of Kathy Wyenandt,≤100
212710169546965,Make America Great Again 2020,National Patriot Association,654
1837356789847797,Fulcrum News,David George Seaman,≤100
312186699644725,The Right Call,The Right Call,≤100
147368882623027,Black Futures Lab,Black Futures Lab,622
96481519170,United Way of the Quad Cities,These ads ran without a disclaimer,≤100
100577113613446,Rock Your Bathroom,SK LANG Products,355
1892187271040911,FreedomWorks Foundation,FreedomWorks Foundation,≤100
107576954053963,Romancisy,These ads ran without a disclaimer,≤100
104849224417845,Trumpt-Shirt,Victoria A Fuller,≤100
123500462249,Oregon Food Bank,"OREGON FOOD BANK, INC.",≤100
100166241563331,Envikit,These ads ran without a disclaimer,≤100
471879826341198,$ergiobay,These ads ran without a disclaimer,≤100
608732389466592,TranSending,Allison Leigh Smookler,≤100
414280728767306,Right Side Broadcasting,"Right Side Broadcasting Network, LLC",≤100
101398838065918,Pam Espinoza for AFGE District 11 NVP,These ads ran without a disclaimer,≤100
1787196051554574,Piper Sullivan,These ads ran without a disclaimer,≤100
26082912881,Project On Government Oversight,PROJECT ON GOVERMENT OVERSIGHT,≤100
37905997261,Youth Service America,YOUTH SERVICE AMERICA INC,≤100
