Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
11131463701,truth,TRUTH INITIATIVE FOUNDATION,117
1639730212934172,"DOVA International Charities, Ltd, 501c3 Non-Profit Charity",Kathleen Louise D'Ovido,≤100
266790296879,Bloomberg,These ads ran without a disclaimer,≤100
1754800858088589,Todd Brown Marketing,These ads ran without a disclaimer,≤100
794588170916703,We Love Pacman,These ads ran without a disclaimer,≤100
100590724818427,TikTok Daily,These ads ran without a disclaimer,≤100
1745418332339003,Aspire Gear,These ads ran without a disclaimer,≤100
645355275615156,Expat Tax Online,These ads ran without a disclaimer,≤100
837157493122072,CGTN Global Business,These ads ran without a disclaimer,≤100
114757093410967,1st Priority Medical,These ads ran without a disclaimer,≤100
137973986840264,Basmah,These ads ran without a disclaimer,≤100
578470445572869,CCTV,These ads ran without a disclaimer,≤100
194698570616499,Marine Dynamics,These ads ran without a disclaimer,≤100
112946676746131,Bycloude,These ads ran without a disclaimer,≤100
552547788123044,Kayla Itsines,These ads ran without a disclaimer,≤100
104272657722603,Current Trending topics,These ads ran without a disclaimer,≤100
492488967563460,Payless SuperFresh & Truckload Store,These ads ran without a disclaimer,≤100
110421237138191,Raft2020,These ads ran without a disclaimer,≤100
106904414125606,Mockie-Talkie,These ads ran without a disclaimer,≤100
107576954053963,Romancisy,These ads ran without a disclaimer,≤100
604009266788505,T-House,These ads ran without a disclaimer,≤100
115297526678529,Top Reusables,These ads ran without a disclaimer,≤100
533883536802363,Hero Wars Mobile,These ads ran without a disclaimer,≤100
105670424238508,Mejai's,These ads ran without a disclaimer,≤100
1115236222010060,Imperial Beauties,These ads ran without a disclaimer,≤100
641162229557866,Proud To Be A Trucker,These ads ran without a disclaimer,≤100
172696189433474,The Great Courses,These ads ran without a disclaimer,≤100
100905191254122,Resimplex.com,These ads ran without a disclaimer,≤100
2282241388670058,Ubuntoo,These ads ran without a disclaimer,≤100
337198476937606,OnnCor,These ads ran without a disclaimer,≤100
2362252427391226,Cora,These ads ran without a disclaimer,≤100
565225540184937,CGTN,These ads ran without a disclaimer,≤100
12597491214,ADRA International,These ads ran without a disclaimer,≤100
466505160192708,Initium Media 端傳媒,These ads ran without a disclaimer,≤100
1864721517082089,Democratic Attorneys General Association,Democratic Attorneys General Association,≤100
573367726328714,Amazing Cosmos,These ads ran without a disclaimer,≤100
141576709631498,Pacific Island Times,These ads ran without a disclaimer,≤100
205238189588054,"Race, Racism and the Law",Professor Vernellia Randall,≤100
1437565483144916,중앙선거관리위원회,These ads ran without a disclaimer,≤100
5755052206,University of Sydney,These ads ran without a disclaimer,≤100
797594863600805,唐顿国际 Counton GMS,These ads ran without a disclaimer,≤100
6756153498,Mike Bloomberg,Mike Bloomberg 2020 Inc,2203
294713084798616,Yu,These ads ran without a disclaimer,≤100
168364409846894,"Ministry of Foreign Affairs, Republic of Korea",These ads ran without a disclaimer,≤100
220039928006744,World Cosplay Summit,These ads ran without a disclaimer,≤100
233472543406717,ScottsBassLessons.com,These ads ran without a disclaimer,≤100
780180935704193,ARC Suria Fertility Malaysia,These ads ran without a disclaimer,≤100
562149327457702,Andrew Yang,FRIENDS OF ANDREW YANG,≤100
122164924461172,Volvo Buses,These ads ran without a disclaimer,≤100
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,≤100
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,≤100
186708875593645,Mila Marsel_official,These ads ran without a disclaimer,≤100
172350046891,Dr. Dons Buttons,These ads ran without a disclaimer,≤100
188022031804028,What's on the star?,These ads ran without a disclaimer,≤100
40055265495,The British Journal of Photography,These ads ran without a disclaimer,≤100
1691667177798461,Brut,Brut,1224
105862057494714,Wei,These ads ran without a disclaimer,≤100
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100
104212497787889,District Court for the Northern Mariana Islands,These ads ran without a disclaimer,≤100
661755397237444,Saint Joseph Communications,These ads ran without a disclaimer,≤100
