Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
258035421734187,Home Team USA,IE Works,≤100
887139178003592,The Dean Obeidallah Show,The Dean Obeidallah Show,≤100
139963376065457,The Princeton Tory,Princeton Tory Inc,≤100
113144363390459,Andrew Knaggs,Knaggs for Congress,≤100
110468488981853,UNRWA USA,UNRWA USA,≤100
83831762882,California Strawberries,These ads ran without a disclaimer,≤100
100237784679159,556 Crafts,These ads ran without a disclaimer,302
816623001696262,Milbank Memorial Fund,Milbank Memorial Fund,≤100
121731445898409,I Love Great Deals,Jay David Kamhi,≤100
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,22837
101642041262759,Erika Wearable Art,These ads ran without a disclaimer,≤100
105872577534668,Chad Roberts for Eastland County Sheriff,Steven Chad Roberts,≤100
105267790979358,Support La Canada Schools,"Committee for La Cañada Schools - Yes on LC, FPPC# 1423083.",≤100
112712083523730,Flickinger For Harris County School Trustee Position 5,Flickinger For Trustee,≤100
573084822773932,Joe Perkins for Circuit Judge Campaign Committee,Joe Perkins for Circuit Judge Campaign Committee,≤100
109439817056024,Elect Logan Endow,Friends of Logan Endow,≤100
1082708181744503,"Lavery, Selvaggi, Abromitis & Cohen, P.C.",These ads ran without a disclaimer,≤100
511597776017378,House Of Chingasos,These ads ran without a disclaimer,≤100
101070164647083,Nard,These ads ran without a disclaimer,≤100
116199665109023,FanPole,These ads ran without a disclaimer,≤100
2056485407811667,Clean Energy for Maryland,Energy Media,≤100
125119157535614,Fannie Mae,Fannie Mae,754
116480163071468,VVandr Bobbles,Moses Ostreicher,272
105986927538317,Triump Apparel,Triump Apparel,≤100
611368759382797,For Life,These ads ran without a disclaimer,4541
207997082561783,Coalition for Humane Immigrant Rights,COALITION FOR HUMANE IMMIGRANT,≤100
151235561684871,The Mama Bear Effect,mamabeareffect,≤100
1771271093126948,Pennsylvanians for Fair Health Coverage,Pennsylvanians for Fair Health Coverage,1339
103622324590214,Millennial Majority,Story Network Foundation,≤100
10150096009920008,Pro-Life Action League,PRO LIFE ACTION LEAGUE,≤100
101057498174413,Bernieciaga Clothing,These ads ran without a disclaimer,≤100
110515277157189,Moms Against Domestic Violence,These ads ran without a disclaimer,≤100
101193108086796,Citizens Against Tax Increase Courthouse,These ads ran without a disclaimer,≤100
1487678361504328,Vigilant Church of God,These ads ran without a disclaimer,≤100
103195591164686,America First,Trung Vu,≤100
102280367886230,militantmose,These ads ran without a disclaimer,≤100
549164205222742,Defend Innocence,These ads ran without a disclaimer,≤100
249549421757255,Joan Padilla for the 71st,Joan Padilla for State Representative,≤100
109083680600436,Referendum 2020,These ads ran without a disclaimer,≤100
66926603938,American Zionist Movement,"AMERICAN ZIONIST MOVEMENT, INC.",851
135899876462184,Orange County Employees Association,ORANGE COUNTY EMPLOYEES ASSOCIATION,109
225047874684697,Noony,These ads ran without a disclaimer,≤100
338080350124651,Top Ten This Week,These ads ran without a disclaimer,≤100
92368229508,Community Food Bank of Eastern Oklahoma,Community Food Bank of Eastern Oklahoma,≤100
6315243665,Faith in Public Life,"FAITH IN PUBLIC LIFE, INC.",≤100
115091053195237,Breaking News Today,These ads ran without a disclaimer,≤100
46802124631,New Jersey Performing Arts Center (NJPAC),These ads ran without a disclaimer,≤100
2363172387338331,Safe Space 1776,SAFE SPACE 1776 LLC,≤100
416626301795772,The Domino Principle,The Domino Principle,≤100
67178485959,Ploughshares Fund,PLOUGHSHARES FUND,≤100
542530592949093,Dave Lindstrom,Lindstrom for Senate,≤100
18813753280,Human Rights Campaign,These ads ran without a disclaimer,≤100
117972721546883,Suffolk University Law School,These ads ran without a disclaimer,≤100
363413330529198,Senator Siobhan Dunnavant,Friends of Siobhan Dunnavant,≤100
724141874433398,Free Press Action,Free Press Action Fund,≤100
347136228807672,Sheriff Rand Henderson,Rand Henderson Campaign,≤100
783420748348047,Opening Doors & Making a Difference,Patrice Marie Broderick,≤100
249557685489132,Spiritual and Practical Socialism,peaceframes,≤100
20785552513,GearJunkie,These ads ran without a disclaimer,≤100
324119001078997,"Sanford Heisler Sharp, LLP","Sanford Heisler Sharp, LLP",144
2392459881043295,1Nickel - One Nickel Enterprises LLC,These ads ran without a disclaimer,≤100
535520483265594,Ask Ariana Healthcare Access,Ask Ariana Insurance Services LLC,≤100
121437709597,Moorish Science Temple of America,These ads ran without a disclaimer,≤100
495539003867549,Brian Sims,Sims4PA PAC,492
103379773074256,Vic Monte Sports,These ads ran without a disclaimer,≤100
104617650978936,Simply Delightful Home,These ads ran without a disclaimer,≤100
102995484583020,Stop Adam PAC,STOP ADAM PAC,≤100
1109191865855979,Larry Pretlow II,"Friends of Larry Pretlow II. DeRonte L. Smith, Treasurer.",≤100
105561217523274,The_Dispatch,"Dispatch Media, Inc.",194
454026075037037,International Sportsman,International Sportsman Inc.,≤100
8524198486,Physicians Committee for Responsible Medicine,"PHYSICIANS COMMITTEE FOR RESPONSIBLE MEDICINE, INC.",1192
118022539598510,Hometown Values,HOMETOWN VALUES PAC,630
510680265702016,Crowned Free,Crowned Free,≤100
109953880563405,Lee Moore,Lee Moore for State Senate,≤100
1099089066943112,MAGA Louisiana,MAGA Louisiana,≤100
107110713957130,Akoin CryptoCurrency,These ads ran without a disclaimer,≤100
217519028785017,Nature Research Custom Media,These ads ran without a disclaimer,≤100
107138687420433,Ben Reynoso for San Bernardino 5th Ward City Council,BENJAMIN JOSE CHRISTMAS-REYNOSO,≤100
104786137798521,Trending SilkyGift,These ads ran without a disclaimer,≤100
151577215422581,Zioness Movement,"Zioness Movement, Inc.",≤100
21375324480,The Heritage Foundation,These ads ran without a disclaimer,≤100
105808477557901,Ryan Childers for IID Director- Division 2,Ryan Duane Childers,≤100
2284034041921092,Coalition For Consumer Choices,Coalition For Consumer Choices,≤100
7874447386,MUBI,These ads ran without a disclaimer,≤100
2158201087792418,Texas Southern eMPA Program,These ads ran without a disclaimer,≤100
1440019856308896,Pennsylvania Department of Health,Pennsylvania Department of Health,1500
1890969497671922,modeDurable,ModeDurable,≤100
139187233089643,"Elmm Law Group, PLLC",These ads ran without a disclaimer,≤100
598924810530984,Keeping America Great,FamTeeWorld,2648
107432337431003,High Castle Studios,JUSTIN TYLER-OTIS BUELL,≤100
176414119755391,Monica Mims Michalec,These ads ran without a disclaimer,≤100
112343040926,Reproductive Health Access Project,REPRODUCTIVE HEALTH ACCESS PROJECT,≤100
108042855937121,Owens Corning,OWENS CORNING,≤100
191210710930194,Susan Talamantes Eggman for State Senate,Susan Eggman for State Senate,≤100
112049503645128,Eggocrat Challenge,EGGOCRAT,≤100
788041574596355,Concealed Carry,These ads ran without a disclaimer,≤100
102619234665360,Rosenquest for Mayor,Christopher Charles Rosenquest,≤100
1662513537316846,Open Future Learning,These ads ran without a disclaimer,≤100
326552231388347,Carpenters Without Borders,These ads ran without a disclaimer,≤100
100950401414532,State Committeewoman Judy Crocker,Elect Judy Crocker,≤100
