Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
114371076772585,Andrew Garbarino for Congress,GARBARINO FOR CONGRESS,≤100
105533077672798,Nicaela Chinnaswamy for State Committee,Red Massachusetts Grassroots Action,≤100
78974918911,LaCie,These ads ran without a disclaimer,≤100
245284549333866,ASMDSS,ASMDSS,3224
1385294418360578,Linda Koop,KOOP FOR TEXAS,12135
1687648944868944,Lelecapri,These ads ran without a disclaimer,≤100
1837115116571746,Topic,These ads ran without a disclaimer,119
185753078030,TakeAction Minnesota,TAKE ACTION MINNESOTA,≤100
359511897974458,Dragan Gods light,These ads ran without a disclaimer,≤100
156296274419595,HarperCollins,HARPERCOLLINS PUBLISHERS L.L.C.,316
690487321044876,Good Deed Entertainment,Good Deed Entertainment,≤100
12692955711,Chronicle of Higher Education,"CHRONICLE OF HIGHER EDUCATION, INC. (THE)",929
105410570945384,Hourly News Report,Zia Alexis Marshay Sifford,4373
245236922206217,"Christopher Bates, Jefferson County Constable Pct. 2",Christopher Lynn Bates,487
109332004003756,David’s Blog,Lorenzo Jr Hernandez,≤100
471232603354363,Rideshare2Vote,Sarah Jennifer Kovich,147
519280578407310,Deb Butler - NC House District 18,Elect Deb Butler,≤100
100231511567878,loveoceanswim,These ads ran without a disclaimer,≤100
319874761377983,Daniel Davis Clayton for House District 100,Daniel Davis Clayton Campaign,512
290611681891012,Matt Salka for Commissioner,Matt for County Commissioner,≤100
2123857067900729,Brenda Siegel for Vermont,Brenda For Vermont,≤100
651756855011919,Tono Latino,Tono Latino,≤100
440677226778016,Ira Bershad for DCDP Chair,These ads ran without a disclaimer,≤100
785936231584382,Paula Jean Swearengin,Paula Jean for West Virginia,≤100
340754919866502,Tom Foolery Podcast,Tom Foolery Podcast,≤100
96826022393,Yale Environment 360,Yale Environment 360,≤100
1232504693563411,Clay Ford for District Judge,Clay Ford for District Judge Campaign Committee,≤100
1786285504993680,Precision Metal Art USA,Precision Metal Art,126
256991351079756,Bard Prison Initiative,These ads ran without a disclaimer,≤100
734197643587370,Bitterroot,Bitterroot Media,≤100
104212234455901,भुंडाराम चौधरी बगड़ी सरपंच,These ads ran without a disclaimer,≤100
273242612696824,Fresno County Young Democrats,Fresno County Young Democrats,≤100
207549645977714,Families Belong Together,Families Belong Together,518
277586425611973,Harold Rutledge for Clay County Sheriff,"Harold Rutledge, Republican, for Clay County Sheriff",≤100
1719618084947050,"Senator Ed Harbison, 15th District",Georgia State Senate,≤100
169561162745,The National Wild Turkey Federation,"NATIONAL WILD TURKEY FEDERATION, INC.",≤100
