Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
1718598435126853,EcoReal Academy,"Ecological Services and Markets, Inc.",≤100
174233076600386,Commissioner Stan Sallee - Tulsa County District 1,District 1 County Commissioner - Stan Sallee,≤100
207033659336173,Clean Elections,Citizens Clean Elections Commission,≤100
1799282383731277,TwoSeventy,Alexander Jared Deutsch,≤100
167790979928453,Women of the World,Samira Ridha Harnish,≤100
2239612502972248,Friends of Car-Free Key West,These ads ran without a disclaimer,≤100
73528878871,Center for Reproductive Rights,Center for Reproductive Rights,≤100
100711091475290,Bill Brough State Assembly 2020,"Bill Brough for Assembly 2020, FPPC# 1415006",≤100
674716296319159,Cody Petterson,Jonathan Cody Petterson,≤100
360434647914542,Andrea Cardenas for Chula Vista City Council,Andrea Cardenas for City Council District 4 2020,≤100
102783903427796,Kate Brown,Kate Brown Committee,≤100
1434747820157997,Mark O'Loughlin for Pembroke Pines Commission,Mark O'Loughlin Campaign,≤100
1449073545419430,The Lone Liberal Republican,Arthur Winter,≤100
167686259995685,Shen Yun,These ads ran without a disclaimer,≤100
533987556776948,Campaign for Sustainable Rx Pricing,Campaign for Sustainable Rx Pricing,≤100
2352551028300986,Honua Ola,Honua Ola Bioenergy,≤100
1207622149401746,Hindi's Libraries,Leslie R Gang,≤100
838522986526962,US Law Shield of Alabama,Michael L Hilton,≤100
2284466715130264,Our Mississippi Our Future,Nature Conservancy,≤100
117483769628442,Edwin Mendez for Cobb,Edwin  Mendez,≤100
110084810548569,Elect Ward A. Nelson Estes Park Trustee,Ward Anton Nelson,≤100
360424321432255,Doha Debates,Doha Debates,≤100
2307498762819752,Collection,Collection,≤100
103260781250999,steveremusgop,Steven Robert Remus,≤100
113666459994300,Big Dan Rodimer for Congress,RODIMER FOR CONGRESS,≤100
101188911404045,"Michelle Antoine - JoCo Advocate for Students, Teachers & Schools",Friends of Michelle Antoine,≤100
926692184144219,Real is a Diamond,DIAMOND PRODUCERS ASSOCIATION,≤100
107928540736629,Eboni Johnson-Rose for Judge,Committee to Elect Eboni Johnson-Rose,≤100
636093333133893,UCR School of Public Policy,UCR School of Public Policy,≤100
436792636865579,Charmaine McGuffey For Sheriff,People for McGuffey for Sheriff,≤100
17203056985,Partners In Health,Partners In Health,≤100
127553923934162,State Representative Ryan Williams,Citizens For The Right Way,≤100
113834070042711,"Re-Elect Dr. Zickeyous Byrd, Superintendent of Conecuh County Schools",Zickeyous Montreds Byrd,≤100
113269308707177,La Voz Bilingual Newspaper,La Voz Bilingual Newspaper,≤100
107944290764791,"Protecting Sacramento, Vote No on Measure G","Protecting Sacramento, Vote No on Measure G, Sponsored by Sacramento Area Firefighters Local 522",≤100
2363271500609808,Armitage For Congress,ARMITAGE FOR CONGRESS,≤100
216311481960,Bill Gates,Bill Gates,≤100
530604487365010,Old Glory Flagpole Kits,Service First Flag Poles,≤100
516062158520807,David Stringer,Conservatives for Stringer,≤100
312502872211924,Culture Flock,Culture Flock,≤100
49651787874,Jane Kim,Jane Kim for SF Central Committee,≤100
