Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
263891677826490,Earthsider,These ads ran without a disclaimer,≤100
619855508423633,NanasStudio,These ads ran without a disclaimer,≤100
1864721517082089,Democratic Attorneys General Association,Democratic Attorneys General Association,≤100
115297526678529,Top Reusables,These ads ran without a disclaimer,≤100
1003050109876165,Tafilu Store,These ads ran without a disclaimer,≤100
11131463701,truth,TRUTH INITIATIVE FOUNDATION,≤100
2362252427391226,Cora,These ads ran without a disclaimer,≤100
155787301118253,"Source Consulting, LLC",These ads ran without a disclaimer,≤100
1437565483144916,중앙선거관리위원회,These ads ran without a disclaimer,≤100
100905191254122,Resimplex.com,These ads ran without a disclaimer,≤100
122164924461172,Volvo Buses,These ads ran without a disclaimer,≤100
324785111015146,The Reformed Constitutionalist,Michael John Cuellar,≤100
129104480966599,Arash Pahlavan,These ads ran without a disclaimer,≤100
266790296879,Bloomberg,These ads ran without a disclaimer,≤100
188022031804028,What's on the star?,These ads ran without a disclaimer,≤100
5755052206,University of Sydney,These ads ran without a disclaimer,≤100
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,≤100
356564478349574,Caribbean Business Report,These ads ran without a disclaimer,≤100
103760691205357,Selica,These ads ran without a disclaimer,≤100
109356615865830,Team UNITY SKN,These ads ran without a disclaimer,≤100
365174366842918,ProSolar Caribbean,Prosolar Caribbean,456
103820407824237,Hok,These ads ran without a disclaimer,≤100
193394557345243,Devex,These ads ran without a disclaimer,≤100
552547788123044,Kayla Itsines,These ads ran without a disclaimer,≤100
359434355433,Black Facts Online,These ads ran without a disclaimer,≤100
1513634378931640,The Home Depot: Retool Your School Program,These ads ran without a disclaimer,≤100
202626512363,U.S. Census Bureau,These ads ran without a disclaimer,≤100
794588170916703,We Love Pacman,These ads ran without a disclaimer,≤100
105670424238508,Mejai's,These ads ran without a disclaimer,≤100
1865751913675364,I Heart Turtles,Christopher Jay Ward,≤100
573367726328714,Amazing Cosmos,These ads ran without a disclaimer,≤100
641555539328837,Senator Janelle K. Sarauw,Senator Janelle K. Sarauw,≤100
202626512363,U.S. Census Bureau,U.S. Census Bureau,≤100
475401892514188,Anguilla Progressive Movement - APM,These ads ran without a disclaimer,≤100
294713084798616,Yu,These ads ran without a disclaimer,≤100
106904414125606,Mockie-Talkie,These ads ran without a disclaimer,≤100
645355275615156,Expat Tax Online,These ads ran without a disclaimer,≤100
106503280809522,DDHD1,These ads ran without a disclaimer,≤100
486870788004049,The Back Room Radio Hour,William J Ward,≤100
109072503873031,Cc's list,These ads ran without a disclaimer,≤100
12597491214,ADRA International,These ads ran without a disclaimer,≤100
104773290996230,Envi Straws,These ads ran without a disclaimer,≤100
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,≤100
205238189588054,"Race, Racism and the Law",Professor Vernellia Randall,≤100
265523977645193,VI Facts & Opinions,These ads ran without a disclaimer,≤100
1691667177798461,Brut,Brut,483
489653951139151,Caribbean Insight,These ads ran without a disclaimer,≤100
212732770186,Tom MacDonald,These ads ran without a disclaimer,≤100
100443981538019,JDB Consulting,Julian Donald Bishop,≤100
333199340043595,Alma Francis Heyliger,Alma Alicia Francis,≤100
2059019737447210,ChangeRoots,ChangeRoots,≤100
293836380967953,The Unofficial Frump Campaign Store,These ads ran without a disclaimer,≤100
40055265495,The British Journal of Photography,These ads ran without a disclaimer,≤100
121473466911,AARP Virgin Islands,AARP,≤100
233472543406717,ScottsBassLessons.com,These ads ran without a disclaimer,≤100
38471053686,Elizabeth Warren,"WARREN FOR PRESIDENT, INC.",≤100
104470997724553,Save The Earth From Plastic,These ads ran without a disclaimer,≤100
533883536802363,Hero Wars Mobile,These ads ran without a disclaimer,≤100
1639730212934172,"DOVA International Charities, Ltd, 501c3 Non-Profit Charity",Kathleen Louise D'Ovido,≤100
1745418332339003,Aspire Gear,These ads ran without a disclaimer,≤100
102390041153055,IAm Caribbean,These ads ran without a disclaimer,≤100
