Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
1829941277232215,DC Democratic Party,DC DEMOCRATIC STATE COMMITTEE,≤100
101942367938685,Caree Annette Harper for Judge 2020,Career Harper for LA Superior Court Judge,≤100
100852586711047,League of Women Voters Central Kane County,League of Women Voters Central Kane County,≤100
366072287082888,Trump Roast Game,Trump Roast,≤100
385473284886474,Hillsdale College,HILLSDALE COLLEGE,285
110833666979398,Twin Shines,These ads ran without a disclaimer,≤100
103998411193631,Love in the Time of Trump,Michnael Loris Millard,≤100
183812595365200,Greater Austin Crime Commission,Greater Austin Crime Commission,≤100
326988207327814,Akhuwat,These ads ran without a disclaimer,≤100
69118604016,Carnegie Institution for Science,Carnegie Institution for Science,≤100
107576954053963,Romancisy,These ads ran without a disclaimer,≤100
121990671210717,Geraldine García Studio & Boutique,These ads ran without a disclaimer,≤100
154258524769560,Jovani Giron The Bronx & Westchester trusted Realtor,These ads ran without a disclaimer,≤100
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,737
108107650633278,Jim Zito for San Jose City Council,Jim Zito for San Jose City Council District 8 - 2020,≤100
399366360669553,Jamaal Bowman for Congress,Bowman For Congress,≤100
43222711183,National Whistleblower Center,NATIONAL WHISTLEBLOWER CENTER,≤100
530628950745171,Vote In Or Out,Lisa Chin Mollica,≤100
993668450793555,Alliance for Housing Justice,PUBLIC ADVOCATES INC,≤100
163653136980951,National Osteoporosis Foundation,National Osteoporosis Foundation,2716
402131763219332,James Gallagher for Assembly,Gallagher for Assembly 2020,≤100
104188284328588,US Polling Research,US Polling Research LLC,≤100
124244214586797,Wisconsin Alliance for Reform,Wisconsin Alliance for Reform,≤100
826270650753665,The Earth Day Film Festival,The Earth Day Film Festival,≤100
126996814303890,Alliant Wealth Advisors,These ads ran without a disclaimer,≤100
102889874499535,Iowa for Tom Steyer,TOM STEYER 2020,≤100
527517893943355,Worldstrong Athletics,Worldstrong Athletics,≤100
1629925673968109,Refuse Fascism,Refuse Fascism,262
105670424238508,Mejai's,These ads ran without a disclaimer,≤100
14038292386,Women for Women International,WOMEN FOR WOMEN INTERNATIONAL,250
113477880193996,Catastrawphic,These ads ran without a disclaimer,≤100
44015482829,United Nations Development Programme - UNDP,United Nations Development Programme,≤100
131994543867785,New Nationalism.com,Robert Woodward Claude,≤100
256541998141424,Justice Forward Virginia,Justice Forward Virginia PAC,≤100
109678580574253,Politicool Clothing Co.,PolitiCoolClothing.com,≤100
291147254850058,Frank Menjivar,These ads ran without a disclaimer,≤100
102314011228013,Hear Our Voice Store,These ads ran without a disclaimer,≤100
452480994776070,Congressman Thomas Massie,Office of Congressman Thomas Massie,≤100
2537580102970762,The Non-Partisan Evangelical,Paul Ray Swearengin,≤100
288110884600563,Lean In,"Sheryl Sandberg & Dave Goldberg Family Foundation d/b/a LeanIn.Org, LLC",353
1996971637047489,ProQuest Schools & Communities,PROQUEST LLC,≤100
511235549007985,PRJKT RUBY,PRJKT RUBY,≤100
8127889355,Americans for Tax Reform,Americans for Tax Reform,5121
105258234387501,Daily Auto Tips,Richard Telfeja,≤100
90498769709,Edenpure,EdenPURE®,≤100
110306340348651,Donna More for State's Attorney,More for State's Attorney,≤100
1990569264580772,Ryan Lee For Texas,Ryan Lee For Texas,≤100
102745147891580,Trump Coolers,Eric Clifford Juels,≤100
111113340370982,Laura4Senate,Laura Anthony,≤100
92729316952,Covanta,Covanta,≤100
159449141570348,Nikiya Dodd,Friends of NIkiya Dodd,≤100
1621690511405010,Civic Action,Civic Action,≤100
249215512733,Amer Zahr,Amer George Zahr,≤100
262014011153122,Maine Forward,MAINE CENTER FOR ECONOMIC POLICY,≤100
115484053157746,The Two Minute Take,The Two Minute Take,≤100
1649500268614178,Arizona Democratic Legislative Campaign Committee,"Arizona Democratic Legislative Campaign Committee, a project of the Arizona Democratic Party. Not authorized by any candidate or candidate's committee.",≤100
373956815963214,"Waymen Eddings for U.S. Congress, KY-3",Waymen Dewan Eddings,≤100
388260445127185,Erica for New York,Erica Arden Vladimer,≤100
98156600838,Shepherd's Gate,SHEPHERD'S GATE,≤100
240541500603,Lone Star Project,Lone Star Project Nonfederal,≤100
162373073824096,EdSurge,These ads ran without a disclaimer,≤100
182193211815005,Issue One,Issue One,≤100
300748678230,Tennessee Department of Economic and Community Development,Tennessee Department of Economic and Community Development,≤100
1662513537316846,Open Future Learning,These ads ran without a disclaimer,≤100
80987211775,Bill Cassidy,Bill Cassidy for US Senate,≤100
54210104594,Indiana University,Indiana University,≤100
1585197535105711,Authory,These ads ran without a disclaimer,≤100
514442968569467,Northern Illinois Food Bank,NORTHERN ILLINOIS FOOD BANK,≤100
2177005695867568,Minnesota Ag-Energy Alliance,Minnesota AG Energy Alliance,≤100
405469100189512,Still My President - Donald Trump,Red State Politics LLC,≤100
2109637279297531,The Bad Seed,Adam Elia Kidron,≤100
1656590977890066,IDEO U,These ads ran without a disclaimer,≤100
